Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
        CreateMutex2(       1):                 0.00 ms,                 0.00 ms,                 0.00 ms,                 0.00 ms,                 0.00 ms
        CreateMutex3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      CreateShareble(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
             initLog(       1):                 0.00 ms,                 0.00 ms,                 0.00 ms,                 0.00 ms,                 0.00 ms
          CreateLock(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       CreateVersion(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            LoadGDIP(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       CreateTempEnv(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
              InitUi(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         CheckUpdate(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          UiRegClass(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          LoadPlugin(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          ReadConfig(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         WriteConfig(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            SyncData(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            SyncSkin(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       WM_IME_SELECT(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
   WM_IME_SETCONTEXT(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     WM_IME_NOTIFY_2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     WM_IME_NOTIFY_3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
SoPY_Status_WM_PAINT(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  SoPY_Comp_WM_PAINT(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          CreateComp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        CreateStatus(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       OnDelayRedraw(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
OnDelayRedraw_CompFull(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
